teams,link,location,schedule_result,timestamp,gmt_local_time,team1,team2,match_number,stadium,city,winner,match_datetime,match_date,match_time,local_time
"Sunrisers Hyderabad vs Gujarat Titans, 66th Match",https://www.cricbuzz.com/live-cricket-scores/91690/srh-vs-gt-66th-match-indian-premier-league-2024,"Rajiv Gandhi International Stadium, Hyderabad","Match starts at May 16, 14:00 GMT",1715868000000,02:00 PM GMT	/ 07:30 PM LOCAL,Sunrisers Hyderabad,Gujarat Titans,66,Rajiv Gandhi International Stadium,Hyderabad,,2024-05-16 10:00:00,2024-05-16,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Mumbai Indians vs Lucknow Super Giants, 67th Match",https://www.cricbuzz.com/live-cricket-scores/91699/mi-vs-lsg-67th-match-indian-premier-league-2024,"Wankhede Stadium, Mumbai","Match starts at May 17, 14:00 GMT",1715954400000,02:00 PM GMT	/ 07:30 PM LOCAL,Mumbai Indians,Lucknow Super Giants,67,Wankhede Stadium,Mumbai,,2024-05-17 10:00:00,2024-05-17,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Royal Challengers Bengaluru vs Chennai Super Kings, 68th Match",https://www.cricbuzz.com/live-cricket-scores/91704/rcb-vs-csk-68th-match-indian-premier-league-2024,"M.Chinnaswamy Stadium, Bengaluru","Match starts at May 18, 14:00 GMT",1716040800000,02:00 PM GMT	/ 07:30 PM LOCAL,Royal Challengers Bengaluru,Chennai Super Kings,68,M.Chinnaswamy Stadium,Bengaluru,,2024-05-18 10:00:00,2024-05-18,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Sunrisers Hyderabad vs Punjab Kings, 69th Match",https://www.cricbuzz.com/live-cricket-scores/91713/srh-vs-pbks-69th-match-indian-premier-league-2024,"Rajiv Gandhi International Stadium, Hyderabad","Match starts at May 19, 10:00 GMT",1716112800000,10:00 AM GMT	/ 03:30 PM LOCAL,Sunrisers Hyderabad,Punjab Kings,69,Rajiv Gandhi International Stadium,Hyderabad,,2024-05-19 06:00:00,2024-05-19,06:00:00,"['10:00 AM GMT', '/ 03:30 PM LOCAL']"
"Royal Challengers Bengaluru vs Chennai Super Kings, 1st Match",https://www.cricbuzz.com/cricket-scores/89654/rcb-vs-csk-1st-match-indian-premier-league-2024,"MA Chidambaram Stadium, Chennai",Chennai Super Kings won by 6 wkts,1711117800000,02:30 PM GMT	/ 08:00 PM LOCAL,Royal Challengers Bengaluru,Chennai Super Kings,1,MA Chidambaram Stadium,Chennai,Chennai Super Kings,2024-03-22 10:30:00,2024-03-22,10:30:00,"['02:30 PM GMT', '/ 08:00 PM LOCAL']"
"Kolkata Knight Riders vs Sunrisers Hyderabad, 3rd Match",https://www.cricbuzz.com/cricket-scores/89665/kkr-vs-srh-3rd-match-indian-premier-league-2024,"Eden Gardens, Kolkata",Kolkata Knight Riders won by 4 runs,1711202400000,02:00 PM GMT	/ 07:30 PM LOCAL,Kolkata Knight Riders,Sunrisers Hyderabad,3,Eden Gardens,Kolkata,Kolkata Knight Riders,2024-03-23 10:00:00,2024-03-23,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Gujarat Titans vs Mumbai Indians, 5th Match",https://www.cricbuzz.com/cricket-scores/89675/gt-vs-mi-5th-match-indian-premier-league-2024,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans won by 6 runs,1711288800000,02:00 PM GMT	/ 07:30 PM LOCAL,Gujarat Titans,Mumbai Indians,5,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,2024-03-24 10:00:00,2024-03-24,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Delhi Capitals vs Chennai Super Kings, 13th Match",https://www.cricbuzz.com/live-cricket-scores/89724/dc-vs-csk-13th-match-indian-premier-league-2024,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Capitals won by 20 runs,1711893600000,02:00 PM GMT	/ 07:30 PM LOCAL,Delhi Capitals,Chennai Super Kings,13,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Delhi Capitals,2024-03-31 10:00:00,2024-03-31,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Lucknow Super Giants vs Gujarat Titans, 21st Match",https://www.cricbuzz.com/live-cricket-scores/89770/lsg-vs-gt-21st-match-indian-premier-league-2024,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Match starts at Apr 07, 14:00 GMT",1712498400000,02:00 PM GMT	/ 07:30 PM LOCAL,Lucknow Super Giants,Gujarat Titans,21,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,,2024-04-07 10:00:00,2024-04-07,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Mumbai Indians vs Chennai Super Kings, 29th Match",https://www.cricbuzz.com/live-cricket-scores/91425/mi-vs-csk-29th-match-indian-premier-league-2024,"Wankhede Stadium, Mumbai","Match starts at Apr 14, 14:00 GMT",1713103200000,02:00 PM GMT	/ 07:30 PM LOCAL,Mumbai Indians,Chennai Super Kings,29,Wankhede Stadium,Mumbai,,2024-04-14 10:00:00,2024-04-14,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Punjab Kings vs Gujarat Titans, 37th Match",https://www.cricbuzz.com/live-cricket-scores/91488/pbks-vs-gt-37th-match-indian-premier-league-2024,"Punjab Cricket Association IS Bindra Stadium, Mohali","Match starts at Apr 21, 14:00 GMT",1713708000000,02:00 PM GMT	/ 07:30 PM LOCAL,Punjab Kings,Gujarat Titans,37,Punjab Cricket Association IS Bindra Stadium,Mohali,,2024-04-21 10:00:00,2024-04-21,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Lucknow Super Giants vs Rajasthan Royals, 44th Match",https://www.cricbuzz.com/live-cricket-scores/91542/lsg-vs-rr-44th-match-indian-premier-league-2024,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Match starts at Apr 27, 14:00 GMT",1714226400000,02:00 PM GMT	/ 07:30 PM LOCAL,Lucknow Super Giants,Rajasthan Royals,44,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,,2024-04-27 10:00:00,2024-04-27,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Chennai Super Kings vs Sunrisers Hyderabad, 46th Match",https://www.cricbuzz.com/live-cricket-scores/91555/csk-vs-srh-46th-match-indian-premier-league-2024,"MA Chidambaram Stadium, Chennai","Match starts at Apr 28, 14:00 GMT",1714312800000,02:00 PM GMT	/ 07:30 PM LOCAL,Chennai Super Kings,Sunrisers Hyderabad,46,MA Chidambaram Stadium,Chennai,,2024-04-28 10:00:00,2024-04-28,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Lucknow Super Giants vs Kolkata Knight Riders, 54th Match",https://www.cricbuzz.com/live-cricket-scores/91618/lsg-vs-kkr-54th-match-indian-premier-league-2024,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Match starts at May 05, 14:00 GMT",1714917600000,02:00 PM GMT	/ 07:30 PM LOCAL,Lucknow Super Giants,Kolkata Knight Riders,54,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,,2024-05-05 10:00:00,2024-05-05,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Royal Challengers Bengaluru vs Delhi Capitals, 62nd Match",https://www.cricbuzz.com/live-cricket-scores/91668/rcb-vs-dc-62nd-match-indian-premier-league-2024,"M.Chinnaswamy Stadium, Bengaluru","Match starts at May 12, 14:00 GMT",1715522400000,02:00 PM GMT	/ 07:30 PM LOCAL,Royal Challengers Bengaluru,Delhi Capitals,62,M.Chinnaswamy Stadium,Bengaluru,,2024-05-12 10:00:00,2024-05-12,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Rajasthan Royals vs Kolkata Knight Riders, 70th Match",https://www.cricbuzz.com/live-cricket-scores/91717/rr-vs-kkr-70th-match-indian-premier-league-2024,"Barsapara Cricket Stadium, Guwahati","Match starts at May 19, 14:00 GMT",1716127200000,02:00 PM GMT	/ 07:30 PM LOCAL,Rajasthan Royals,Kolkata Knight Riders,70,Barsapara Cricket Stadium,Guwahati,,2024-05-19 10:00:00,2024-05-19,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
